MonYear;Primary goods;Capital goods;Intermediate goods;Infrastructure/ construction goods;Consumer durables;Consumer non-durables
Apr.12;98.2;89.5;103.6;103.1;102.0;97.0
May.12;104.0;98.7;105.6;117.4;105.1;99.8
Jun.12;99.7;101.9;103.5;102.2;104.9;104.9
Jul.12;98.9;97.0;102.7;106.0;102.2;103.7
Aug.12;96.5;101.9;103.0;97.2;101.1;103.8
Sep.12;92.4;102.8;104.6;98.8;107.2;98.2
Oct.12;102.5;95.5;104.7;101.0;115.1;102.4
Nov.12;98.3;90.9;100.1;99.4;94.2;102.6
Dec.12;104.6;101.5;108.1;107.6;103.6;117.5
Jan.13;105.9;93.8;107.7;110.0;108.2;113.2
Feb.13;95.4;100.2;103.1;104.1;103.3;109.7
Mar.13;109.7;130.1;114.8;117.8;111.9;120.3
Apr.13;98.0;89.8;104.2;114.3;106.1;105.1
May.13;103.7;99.6;106.2;116.0;102.9;108.8
Jun.13;97.2;91.9;105.2;104.0;104.6;105.8
Jul.13;100.3;93.0;111.0;110.0;107.0;107.9
Aug.13;100.2;94.9;111.4;108.5;105.1;106.9
Sep.13;100.0;96.7;110.9;108.1;116.5;106.2
Oct.13;100.1;94.1;108.2;105.4;124.5;106.4
Nov.13;99.8;92.6;105.0;104.8;105.9;102.4
Dec.13;109.3;97.0;113.4;111.2;109.8;119.5
Jan.14;109.7;93.2;113.1;120.5;115.9;118.0
Feb.14;101.3;98.7;108.5;114.2;110.8;111.2
Mar.14;114.4;117.8;121.8;119.8;120.7;121.5
Apr.14;103.5;82.4;117.1;114.0;108.4;107.2
May.14;107.3;92.8;116.8;121.8;114.4;110.8
Jun.14;105.6;100.8;116.8;117.9;108.3;109.9
Jul.14;103.1;94.4;118.2;119.1;115.3;115.3
Aug.14;103.5;91.7;117.6;112.2;112.4;108.6
Sep.14;101.7;104.5;117.5;112.9;126.4;108.2
Oct.14;107.0;82.2;111.2;115.0;109.4;100.3
Nov.14;106.8;88.1;114.4;115.5;116.0;110.8
Dec.14;111.8;99.0;117.2;119.3;116.9;124.9
Jan.15;112.4;88.3;117.1;122.7;115.5;122.1
Feb.15;103.4;100.1;112.1;112.5;113.4;121.9
Mar.15;114.1;121.9;123.5;120.5;126.2;130.7
Apr.15;100.4;85.5;115.7;118.6;110.3;113.3
May.15;112.4;88.3;117.4;121.9;113.1;115.4
Jun.15;107.9;92.6;114.6;120.9;116.6;109.8
Jul.15;108.6;89.7;120.2;120.6;119.7;107.7
Aug.15;111.1;94.3;118.2;117.3;114.4;110.2
